Station,n.dets,n.ind,mean.ann,mean.mol,mean.art,mean.ech,mean.misc,mean.tot,per.gravel.c,per.gravel.f,per.sand.c,per.sand.m,per.sand.f,per.fines,per.TOC,depth.ft.bot,temp.C.bot,sp.Cond.bot,sal.bot,pH.bot,DO.perc.bot,DO.MgL.bot,depth.ft.mid,temp.C.mid,sp.Cond.mid,sal.mid,pH.mid,DO.perc.mid,DO.MgL.mid,depth.ft.sur,temp.C.sur,sp.Cond.sur,sal.sur,pH.sur,DO.perc.sur,DO.MgL.sur,lat,lon,sta.depth,sta.type
BI_SIP3,6706,185,0.19316666666666665,0.3954666666666667,0.0031,0.06286666666666667,0.006333333333333333,0.6609333333333334,0,0,0,0.4,87.6,12,0.178,18.44,22.7,48.78,31.89,8.13,91.9,6.59,9.3,22.7,48.11,31.39,8.15,100.1,7.21,0.77,22.55,47.22,30.75,8.16,103.6,7.5,30.2164,-89.028,5.54,SI Array
BI_SIP4,1935,57,0.04326666666666667,0.0551,0.0037666666666666664,0.022099999999999998,0.0063,0.13053333333333333,0,0,0,1.7,94.9,3.4,0.111,16.92,22.52,48.66,31.8,8.13,88,6.34,8.64,22.6,48.63,31.77,8.14,92.2,6.63,0.78,22.2,42.53,27.37,8.16,102.2,7.59,30.2177,-89.0402,5.05,SI Array
BI_SIP6,202089,233,0.029566666666666668,0.165,0.016166666666666666,0.0012333333333333335,5.666666666666667e-4,0.21253333333333332,0,0,0,3.1,95.7,1.2,0.061,11.54,22.46,48.17,31.44,8.13,90.7,6.55,5.79,22.3,47.52,30.97,8.14,94.8,6.89,0.77,22.27,44.97,29.13,8.15,98.7,7.25,30.224,-89.0648,3.39,SI Array
BI_WS1,42587,123,0.028066666666666667,0.011833333333333333,0.0636,0.002,0.08316666666666667,0.18866666666666668,0,0,4.3,12.4,36.3,47,0.581,27.3,23.4,49.68,32.53,8.12,81.9,5.78,13.6,23.45,49.23,32.21,8.15,91.5,6.47,0.8,23.82,42.92,27.63,8.17,103.9,7.49,30.2162,-88.9852,7.98,SI Array
BI_WS2,106100,128,0.05296666666666667,0.0465,0.0015333333333333334,0.037866666666666667,0.044833333333333336,0.1837,0,0,0.5,13.9,81.1,4.5,0.11,24.97,23.44,49.7,32.55,8.14,88.5,6.25,12.41,23.66,48.69,31.81,8.18,100.6,7.1,0.8,23.91,42.95,27.65,8.17,104.7,7.54,30.2159,-88.9914,7.14,SI Array
BI_WS3,20836,130,0.15736666666666665,0.227,0.005833333333333334,0.14233333333333334,0.0036,0.5361333333333334,0,0,0.1,1.2,91.5,7.2,0.13,21.38,23.34,49.32,32.27,8.13,91.2,6.46,10.5,23.54,48.52,31.68,8.15,98.3,6.96,0.81,23.57,47.95,31.27,8.15,100.6,7.13,30.205,-88.9817,6.15,SI Array
BI_WS4,49853,146,0.05753333333333333,0.31173333333333336,0.06976666666666666,0.0069,0.012,0.45793333333333336,0,0,0.2,2.4,92.1,5.3,0.075,16.26,23.43,49.24,32.21,8.15,93.7,6.63,8.25,23.59,48.94,31.99,8.17,98.6,6.96,0.8,24.02,48.25,31.47,8.18,103.8,7.29,30.2082,-88.9875,4.75,SI Array
BI_WS5,75320,92,0.003266666666666667,0.0252,0.012966666666666666,0.0038666666666666663,0.005333333333333333,0.050633333333333336,0,0,0,2.3,93.8,3.9,0.076,13.55,19.44,49.8,32.66,8.14,97,7.35,6.95,18.75,47.26,30.8,8.16,99.2,7.7,0.76,16.9,0.56,0.27,8.16,99.9,9.65,30.2185,-88.9622,3.16,SI Array
BI_WS6,24981,88,0.05176666666666666,0.0038666666666666663,0.013999999999999999,2.3333333333333333e-4,0.008366666666666666,0.07823333333333334,0,0,0.9,11.5,32.3,55.3,0.592,18.73,19.71,49.87,32.71,8.07,94.6,7.13,8.9,18.87,47.14,30.72,8.13,98.2,7.61,0.79,18.32,45.73,29.7,8.16,101.6,8.01,30.2208,-88.9491,6.34,SI Array
BI_WS7,19705,113,0.16383333333333333,0.3197666666666667,0.0169,9.999999999999999e-5,0.031266666666666665,0.5318666666666667,0,0.2,2.3,3.6,69.7,24.2,0.501,21.42,23.36,49.31,32.26,8.1,91.2,6.46,10.67,23.55,48.76,31.86,8.13,96.2,6.8,0.8,23.56,47.99,31.3,8.14,100.8,7.15,30.2034,-88.97,6.25,SI Array
BI_WS8,8388,119,0.09570000000000001,0.31866666666666665,0.011866666666666666,0.1669,0.0426,0.6357333333333333,0,0,0.1,0.6,87.5,11.8,0.201,21.22,23.34,49.28,32.24,8.08,89.5,6.34,11.35,23.41,49.2,32.18,8.11,94,6.65,0.81,23.69,48.03,31.32,8.1,97.2,6.88,30.2039,-88.9584,6.16,SI Array
BI_WS9,19465,119,0.04256666666666666,0.3222,0.0825,7.666666666666667e-4,0.0668,0.5148333333333334,0,0,0.1,1,92.3,6.6,0.111,19.67,23.35,49.21,32.19,7.92,85.9,6.08,9.74,23.64,48.44,31.62,7.99,98,6.93,0.79,23.58,47.77,31.14,8.01,97.4,6.91,30.2072,-88.947,5.48,SI Array
